"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","0.33uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C2,C4,C6,C8","4","0.1uF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C3,C5,C7","3","10uF","","","","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~"
"D1","1","1N5819","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"J1","1","12V_IN","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"J2","1","5V_OUT","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"J3","1","DHT11","","","","Connector_Molex:Molex_KK-396_5273-03A_1x03_P3.96mm_Vertical","~"
"J4","1","Buzzer","","","","Connector_Molex:Molex_KK-396_5273-02A_1x02_P3.96mm_Vertical","~"
"J5","1","TX","","","","Connector_Molex:Molex_KK-396_5273-03A_1x03_P3.96mm_Vertical","~"
"J6","1","Humidi.","","","","Connector_Molex:Molex_KK-396_5273-02A_1x02_P3.96mm_Vertical","~"
"J7","1","Cooler","","","","Connector_Molex:Molex_KK-396_5273-02A_1x02_P3.96mm_Vertical","~"
"J8","1","Nucleo","","","","Connector_Molex:Molex_KK-396_A-41791-0015_1x15_P3.96mm_Vertical","~"
"J9","1","9V_OUT","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"J10","1","Retorno_1","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"J11","1","Modulo_Reles","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J12","1","Motor","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"J13","1","Retorno_2","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"J14","1","3_3V_OUT","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"J15","1","Encoder_Rotativo","","","","Connector_Molex:Molex_KK-396_5273-05A_1x05_P3.96mm_Vertical","~"
"J16","1","Encoder_Motor","","","","Connector_Molex:Molex_KK-396_5273-03A_1x03_P3.96mm_Vertical","~"
"J17","1","LCD","","","","Connector_Molex:Molex_KK-396_5273-04A_1x04_P3.96mm_Vertical","~"
"U1","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"U2","1","LM7809_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"U3","1","LD1117V33","","","","Package_TO_SOT_SMD:SOT-223","https://www.st.com/resource/en/datasheet/ld1117.pdf"
